courseName,universityName,facultyName,isItFullTime,description,startDate,fees,modality,duration,city,country,administration,url,description_lemmatized,courseName_lemmatized,universityName_lemmatized,city_lemmatized,fees_USD
﻿Advanced Nursing Practice - PgDip/PgCert/MSc,Oxford Brookes University,Oxford School of Nursing and Midwifery,['Part Time'],"Our MSc/PGDip/PGCert in Advanced Nursing Practice comprises core modules of study that facilitates and enables experienced clinicians working at the leading edge of their specialty, to grow their expertise across the key four pillars of advanced practice: clinical practiceleadership and managementeducation research. As a nursing professional you will challenge your beliefs and understanding about healthcare. You’ll extend your knowledge and practice skills and engage in continuing professional and postgraduate academic development.","September, January","CPD Home (UK) part time £1,080 per single module","MSc,PGCert,PGDip","3-5 years part time (MSc), 2-4 years part time (PgDip), 1-2 years part time (PgCert)",Oxford,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-nursing-practice-pgdip-pgcert-msc/?i188d7332c41336,mscpgdippgcert advanc nurs practic compris core modul studi facilit enabl experienc clinician work lead edg specialti grow expertis across key four pillar advanc practic clinic practiceleadership managementeduc research nurs profession challeng belief understand healthcar ’ extend knowledg practic skill engag continu profession postgradu academ develop,﻿advanc nurs practic pgdippgcertmsc,oxford brook univers,oxford,856.84
﻿Advanced Physiotherapy: Musculoskeletal MSc,University College London,UCL Great Ormond Street Institute of Child Health,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThis postgraduate programme integrates the advanced clinical, academic and research components of musculoskeletal physiotherapy practice. The emphasis is on advanced clinical reasoning and evidence-informed management of patients with musculoskeletal disorders. Flexibility in the selection of modules allows for physiotherapists with particular interests to be accommodated.",September,"Full time - £14,100 Part time - £7,050",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-musculoskeletal-msc/?i274d1859c65439,regist interest graduat studi uclthi postgradu programm integr advanc clinic academ research compon musculoskelet physiotherapi practic emphasi advanc clinic reason evidenceinform manag patient musculoskelet disord flexibl select modul allow physiotherapist particular interest accommod,﻿advanc physiotherapi musculoskelet msc,univers colleg london,london,11186.52
﻿Advanced Physiotherapy: Neurophysiotherapy MSc,University College London,UCL Great Ormond Street Institute of Child Health,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThis programme integrates the clinical, academic and research components of neurophysiotherapy practice, with an emphasis on the management of patients with neurological disorders. You will develop an understanding of evidence-based practice and develop as an advanced physiotherapy practitioner. You will be able to select from a wide range of modules according to your interest and complete at least one clinical placement.",September,"Full time - £14,100 Part time - £7,050",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-neurophysiotherapy-msc/?i274d1859c42440,regist interest graduat studi uclthi programm integr clinic academ research compon neurophysiotherapi practic emphasi manag patient neurolog disord develop understand evidencebas practic develop advanc physiotherapi practition abl select wide rang modul accord interest complet least one clinic placement,﻿advanc physiotherapi neurophysiotherapi msc,univers colleg london,london,11186.52
﻿Advanced Physiotherapy: Paediatrics MSc,University College London,UCL Great Ormond Street Institute of Child Health,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThis postgraduate programme integrates the advanced clinical, theoretical, academic and research components of paediatric physiotherapy practice. The emphasis is on the management of paediatric patients with cardiorespiratory, neurological and musculoskeletal disorders. Flexibility in the selection of modules allows for your particular interests to be accommodated.",September,"Full time - £14,100 Part time - £7,050",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-paediatrics-msc/?i274d1859c22556,regist interest graduat studi uclthi postgradu programm integr advanc clinic theoret academ research compon paediatr physiotherapi practic emphasi manag paediatr patient cardiorespiratori neurolog musculoskelet disord flexibl select modul allow particular interest accommod,﻿advanc physiotherapi paediatr msc,univers colleg london,london,11186.52
﻿Advanced Physiotherapy: Cardiorespiratory MSc,University College London,UCL Great Ormond Street Institute of Child Health,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThis postgraduate programme integrates the advanced clinical, academic and research components of cardiorespiratory physiotherapy practice. The emphasis is on the management of patients with cardiorespiratory disorders. Flexibility in the selection of modules allows for physiotherapists with particular interests to be accommodated.",September,"Full time - £14,100 Part time - £7,050",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-cardiorespiratory-msc/?i274d1859c22555,regist interest graduat studi uclthi postgradu programm integr advanc clinic academ research compon cardiorespiratori physiotherapi practic emphasi manag patient cardiorespiratori disord flexibl select modul allow physiotherapist particular interest accommod,﻿advanc physiotherapi cardiorespiratori msc,univers colleg london,london,11186.52
﻿Advanced Practice in Healthcare MSc,University of Liverpool,Department of Health Sciences,['Part Time'],"Explore specialist areas of practice in-depth on this flexible master’s degree. With an overarching theme of advanced practice, you can enhance your expertise in healthcare, gain the research and leadership skills essential to the role of the advanced practitioner, and tailor the programme to your own requirements.INTRODUCTIONThis MSc provides a flexible programme of study for healthcare graduates and experienced health professionals that will consolidate your existing knowledge and develop your skills to an advanced level.The programme will advance your clinical expertise, enhance your research skills and support you in devising a detailed personal development plan.","September, January","UK fees (applies to Channel Islands, Isle of Man and Republic of Ireland) Part-time place, per year - £3,467  International fees This course is not available to international students.",MSc,3-6 years part time,Liverpool,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-practice-in-healthcare-msc/?i326d908c62282,explor specialist area practic indepth flexibl master ’ degre overarch theme advanc practic enhanc expertis healthcar gain research leadership skill essenti role advanc practition tailor programm requirementsintroductionthi msc provid flexibl programm studi healthcar graduat experienc health profession consolid exist knowledg develop skill advanc levelth programm advanc clinic expertis enhanc research skill support devis detail person develop plan,﻿advanc practic healthcar msc,univers liverpool,liverpool,2750.61
﻿Advanced Radiotherapy and Oncology Practice - MSc,University of Hertfordshire,School of Health and Social Work,"['Full Time', 'Part Time', 'Online']",The Advanced Radiotherapy and Oncology practice pathway specialises in the field of radiotherapeutic practice. Many of the options develop competencies for advanced practice such as in the palliative care and breast localisation modules. The programme is designed to enhance your current knowledge and understanding and give you opportunities to challenge and critically evaluate your professional practice.Professional Accreditation The MSc Medical Imaging and Radiation Sciences – Advanced Radiotherapy and Oncology Practice programme is endorsed by the College of Radiographers.,September,"£810.00 per 15 credits - unless a module is premium priced, costs can be found by visiting by visiting Fees and Finance Policy. Also, prices may differ for students that are assessed as EU Overseas/Overseas. Fees status will normally stay with the student for the remainder of their course.",MSc,Up to 6 years,Hatfield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-radiotherapy-and-oncology-practice-msc/?i313d1159c61842,advanc radiotherapi oncolog practic pathway specialis field radiotherapeut practic mani option develop compet advanc practic palli care breast localis modul programm design enhanc current knowledg understand give opportun challeng critic evalu profession practiceprofession accredit msc medic imag radiat scienc – advanc radiotherapi oncolog practic programm endors colleg radiograph,﻿advanc radiotherapi oncolog practic msc,univers hertfordshir,hatfield,642.63
﻿FindAMasters | 500 Error : Internal Server Error,,,[],,,,,,,,,,,﻿findamast 500 error intern server error,,,
﻿Advanced Sport Performance Science MSc,Swansea University,School of Engineering and Applied Sciences,"['Full Time', 'Online']","Advanced Sport Performance ScienceThis MSc programme in Advanced Sport Performance Science will equip students with the skills required to successfully and effectively work in the competitive environment of elite sport.The course will comprise of taught modules that deepen students’ understanding of theories and practice of sport performance and develop an advanced understanding of research methodologies, data analytics, reflective practice, and critical analysis skills.An industrial placement will allow students to apply their knowledge in a professional environment, further enhancing their employability.",September,,MSc,1 year full time,Swansea,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-sport-performance-science-msc/?i231d8819c68963,advanc sport perform sciencethi msc programm advanc sport perform scienc equip student skill requir success effect work competit environ elit sportth cours compris taught modul deepen student ’ understand theori practic sport perform develop advanc understand research methodolog data analyt reflect practic critic analysi skillsan industri placement allow student appli knowledg profession environ enhanc employ,﻿advanc sport perform scienc msc,swansea univers,swansea,
﻿Advanced Restorative Dental Therapy (Distance Learning) (Top-Up),University of Portsmouth,School of Health and Care Professions,['Part Time'],This course is still in the process of being set up. For more information please contact the University of Portsmouth.,"September, March",,MSc,1 year full time,Portsmouth,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/advanced-restorative-dental-therapy-distance-learning-top-up/?i343d5137c70740,cours still process set inform pleas contact univers portsmouth,﻿advanc restor dental therapi distanc learn topup,univers portsmouth,portsmouth,
﻿Advancing Clinical Pharmacy Practice - MSc,University of Hertfordshire,School of Health and Social Work,['Full Time'],Why choose Herts?Teaching Excellence: You will be taught by Clinical experts using excellent clinical simulation facilities.Work Placement Opportunities: You will undertake Clinical Placements in local NHS Trusts.Clinical Connections: Benefit from our strong links with local NHS healthcare organisations who provide specialist clinical teaching on the programme and provide placement opportunities.About the courseThe MSc Advancing Clinical Pharmacy Practice programme is a one year of full-time course that is suitable for pharmacists who have at least 6 months patient-facing post registration experience.  ,See Course,UK Students Full time: £10320 for the 2022/2023 academic year  EU/International Students Full time: £20020 for the 2022/2023 academic year,MSc,1 year full time,Hatfield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advancing-clinical-pharmacy-practice-msc/?i313d1159c65360,choos hertsteach excel taught clinic expert use excel clinic simul facilitieswork placement opportun undertak clinic placement local nh trustsclin connect benefit strong link local nh healthcar organis provid specialist clinic teach programm provid placement opportunitiesabout courseth msc advanc clinic pharmaci practic programm one year fulltim cours suitabl pharmacist least 6 month patientfac post registr experi,﻿advanc clinic pharmaci practic msc,univers hertfordshir,hatfield,15883.27
﻿Advancing Healthcare Practice,University of Reading,School of Pharmacy,['Part Time'],"Apply for this programmeEnhance your knowledge and skills as a healthcare professional with our course in Flexible CPD Advancing Healthcare Practice (Modular/PGDip/MSc).Practising healthcare professionals can apply to either study individual modules from the CPD programme or to study this flexible, taught, workplace-based master's degree, which combines a range of optional and compulsory modules to suit their learning needs.If you already have postgraduate academic credits from other healthcare-based courses — such as PGCert/Dip in Pharmacy Practice, PGDip in Physician Associate Studies, PGCert in Independent Prescribing, or another healthcare-related subject — you may be able to apply for Recognition of Prior Learning (RPL) to join the programme partway through.",See Course,"New UK/Republic of Ireland students: £5,650  New international students: £ *Not applicable - this course is only open to UK applicants*",MSc,36-72 months flexible; or with prior learning typically 9-12 months,Reading,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advancing-healthcare-practice/?i345d6742c61211,appli programmeenh knowledg skill healthcar profession cours flexibl cpd advanc healthcar practic modularpgdipmscpractis healthcar profession appli either studi individu modul cpd programm studi flexibl taught workplacebas master degre combin rang option compulsori modul suit learn needsif alreadi postgradu academ credit healthcarebas cours — pgcertdip pharmaci practic pgdip physician associ studi pgcert independ prescrib anoth healthcarerel subject — may abl appli recognit prior learn rpl join programm partway,﻿advanc healthcar practic,univers read,read,4482.54
﻿Advanced Technology Management MSc,University of Wolverhampton,School of Engineering,"['Full Time', 'Part Time']",Course ModulesYEAR 1Applied Stress,September,Home - Full-time - £8395 per year Home - Part-time - £4198 per year International - Full-time - £15450 per year,MSc,"1 year full time, part time options available",Wolverhampton,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-technology-management-msc/?i373d5338c71429,cours modulesyear 1appli stress,﻿advanc technolog manag msc,univers wolverhampton,wolverhampton,12257.57
﻿Advanced Wildlife Conservation in Practice - MSc,"University of the West of England, Bristol",School of Applied Sciences,"['Full Time', 'Part Time']","MSc Advanced Wildlife Conservation in Practice is not just theoretical. It's designed to give you practical experience of contemporary techniques for conserving biodiversity in a rapidly changing world. Delivered in collaboration with the internationally renowned Bristol Zoological Society (BZS), the course is unique in the way it prepares you for practical conservation.There is a pressing need for conservationists to create and work with emerging technologies. The course focuses on developing your innovation and entrepreneurial skills. You'll develop your practice in ecosystem and species conservation, communication and effecting behaviour change, ensuring you're able to maximise opportunities for biodiversity conservation.Hands-on conservation",January,Full time Home Award Fee £8400 Home Module Fee (15 Credit) £700  Part time Home Module Fee (15 Credit) £700 Offshore Module Fee (15 Credit) £1229,"MSc,PGDip,PGCert","1 year full-time, 2 years part-time",Bristol,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-wildlife-conservation-in-practice-msc/?i359d5894c37856,msc advanc wildlif conserv practic theoret design give practic experi contemporari techniqu conserv biodivers rapidli chang world deliv collabor intern renown bristol zoolog societi bz cours uniqu way prepar practic conservationther press need conservationist creat work emerg technolog cours focus develop innov entrepreneuri skill youll develop practic ecosystem speci conserv commun effect behaviour chang ensur your abl maximis opportun biodivers conservationhandson conserv,﻿advanc wildlif conserv practic msc,univers west england bristol,bristol,6664.31
﻿Advancing Practice Sensory Integration (MSc),Sheffield Hallam University,Postgraduate Courses,['Full Time'],"Develop your knowledge and understanding of the neuroscience underpinning sensory integration and processing, and the theory and application of Ayres Sensory Integration®.Course summaryGain the knowledge and confidence to work in advanced sensory integration.See how your learning can contribute to the growing evidence base.Plan and implement a research study focused on sensory integration. This course is available to occupational therapists, physiotherapists and speech and language therapists. You’ll gain the knowledge and skills to develop first as a practitioner in sensory integration – and then as an advanced practitioner. ","January, April","Our tuition fee for UK students starting part-time study in 2023/24 is £6,689 for the course.  Please see the university website for further information on fees for this course.",MSc,2 / 4 years distance learning,Sheffield,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/advancing-practice-sensory-integration-msc/?i219d2021c68022,develop knowledg understand neurosci underpin sensori integr process theori applic ayr sensori integration®cours summarygain knowledg confid work advanc sensori integrationse learn contribut grow evid baseplan implement research studi focus sensori integr cours avail occup therapist physiotherapist speech languag therapist ’ gain knowledg skill develop first practition sensori integr – advanc practition,﻿advanc practic sensori integr msc,sheffield hallam univers,sheffield,5306.85
﻿Advancing Professional Practice (MSc/PgDip/PgCert),Sheffield Hallam University,Postgraduate Courses,"['Part Time', 'Online']","Continue your professional development in health and social care towards advanced or specialist roles.Course summaryStudy modules in clinical skills, professional development, research, service development, education and leadership and management.Gain awards credit towards a postgraduate certificate, postgraduate diploma or masters in Advanced Professional Development.Develop your professional practice, building on expertise you already possess.Continuing professional development is a key requirement of health and social care professionals. This flexible course allows you to tailor your studies according to your own development needs, helping you to progress to more advanced or specialist roles.","January, April","For part-time study the fee will be calculated pro-rata each year based on the number of credits studied (£830 for 15 credits or £1,655 for 30 credits)  Please see the university website for further information on fees for this course.","PGDip,MSc,PGCert",3 years part-time,Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advancing-professional-practice-msc-pgdip-pgcert/?i219d2021c29784,continu profession develop health social care toward advanc specialist rolescours summarystudi modul clinic skill profession develop research servic develop educ leadership managementgain award credit toward postgradu certif postgradu diploma master advanc profession developmentdevelop profession practic build expertis alreadi possesscontinu profession develop key requir health social care profession flexibl cours allow tailor studi accord develop need help progress advanc specialist role,﻿advanc profession practic mscpgdippgcert,sheffield hallam univers,sheffield,1313.03
﻿Aerospace Engineering - MSc,University of Leeds,School of Mechanical Engineering,['Full Time'],"Demand for aerospace engineering graduates is rising, both in the UK and overseas. In fact, the UK aerospace industry is the second biggest in the world after the USA, home to leading aerospace companies such as Airbus, Astrium, BAE Systems, GKN, Leonardo and Rolls-Royce. That’s why specialising in this field could open a lot of doors in terms of career opportunities when you",September,"UK: £13,750 (Total) International: £31,000 (Total)",MSc,1 year full time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/aerospace-engineering-msc/?i321d1002c29974,demand aerospac engin graduat rise uk oversea fact uk aerospac industri second biggest world usa home lead aerospac compani airbu astrium bae system gkn leonardo rollsroyc ’ specialis field could open lot door term career opportun,﻿aerospac engin msc,univers leed,leed,24594.47
﻿FindAMasters | 500 Error : Internal Server Error,,,[],,,,,,,,,,,﻿findamast 500 error intern server error,,,
﻿Aerospace Engineering - MSc,University of Hertfordshire,"School of Physics, Engineering and Computer Science","['Full Time', 'Part Time']","Why choose Herts?Industry accreditation: This course is RAes and IMechE accredited and meets the further learning requirement for Chartered Engineer (CEng) registration.Fantastic Facilities: You will have direct access to extensive labs exclusively open for aerospace engineering students including flight simulators, industry-level CAE software packages, and wind tunnels.Industry connections: Benefit from industry-led skills-sessions supported by our established links in the aerospace industry which include strong relations with organisations including Rolls Royce, Thales, and MBDA.About the courseThis is an integrated degree programme that brings together the key generic skills of management and research methods with specific modules focusing on aerodynamics and flight mechanics. This approach will help you to develop your critical thinking skills as a future engineering manager, or technical specialist enabling you effectively to analyse technical and or management issues. The programme aims to:",See Course,UK Students Full time: £9750 for the 2022/2023 academic year Part time: £810 per 15 credits for the 2022/2023 academic year  EU/International Students Full time: £14750 for the 2022/2023 academic year Part time: £1230 per 15 credits for the 2022/2023 academic year,MSc,"1 year full time, 18 months full time, 3 years part time",Hatfield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/aerospace-engineering-msc/?i313d64c13429,choos hertsindustri accredit cours rae imech accredit meet learn requir charter engin ceng registrationfantast facil direct access extens lab exclus open aerospac engin student includ flight simul industrylevel cae softwar packag wind tunnelsindustri connect benefit industryl skillssess support establish link aerospac industri includ strong relat organis includ roll royc thale mbdaabout coursethi integr degre programm bring togeth key gener skill manag research method specif modul focus aerodynam flight mechan approach help develop critic think skill futur engin manag technic specialist enabl effect analys technic manag issu programm aim,﻿aerospac engin msc,univers hertfordshir,hatfield,11702.21
﻿Agricultural and Food Economics,University of Reading,"School of Agriculture, Policy & Development",['Full Time'],"Apply for this programmeDevelop your research skills for agricultural economics and food economics with our MSc by Research Agricultural and Food Economics master’s degree.During your studies you’ll develop applied economics and marketing skills – including quantitative and qualitative research techniques – and then apply them to a diverse range of contemporary farm, food and rural issues in both developed and developing country contexts.Choose MSc by Research Agricultural and Food Economics at the University of ReadingYou will:",September,"New UK/Republic of Ireland students: £10,800  New international students: £22,350","MSc,Research Only",1 year full time,Reading,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/agricultural-and-food-economics/?i345d711c14406,appli programmedevelop research skill agricultur econom food econom msc research agricultur food econom master ’ degreedur studi ’ develop appli econom market skill – includ quantit qualit research techniqu – appli divers rang contemporari farm food rural issu develop develop countri contextschoos msc research agricultur food econom univers readingy,﻿agricultur food econom,univers read,read,17731.82
﻿Aesthetics (Minimally-invasive Aesthetics) MS,University College London,Division of Surgery and Interventional Science,"['Full Time', 'Part Time']",Register your interest in graduate study at UCLDevelop the necessary minimally invasive aesthetics skills to ensure patient safety by joining our mixed-mode MS Aesthetics (Minimally Invasive Aesthetics) designed to suit the lifestyle of busy professionals. You will learn from world leaders in minimally invasive aesthetics and join the community of professionals driving innovation in the field.Our MS Aesthetics programme is aimed at UK and international healthcare professional trainees who want to learn evidence-based minimally invasive aesthetics to ensure patient safety and satisfaction in their practice.This blending-learning programme combines online learning with face-to-face teaching on campus each term on pre-allocated dates to enable you to study alongside your clinical commitment.,September,"Full time - £14,100 Part time - £7,050","Other,MSc","1 year full-time, 2 years part-time",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/aesthetics-minimally-invasive-aesthetics-ms/?i274d1822c60040,regist interest graduat studi ucldevelop necessari minim invas aesthet skill ensur patient safeti join mixedmod ms aesthet minim invas aesthet design suit lifestyl busi profession learn world leader minim invas aesthet join commun profession drive innov fieldour ms aesthet programm aim uk intern healthcar profession traine want learn evidencebas minim invas aesthet ensur patient safeti satisfact practicethi blendinglearn programm combin onlin learn facetofac teach campu term prealloc date enabl studi alongsid clinic commit,﻿aesthet minimallyinvas aesthet ms,univers colleg london,london,11186.52
"﻿Agriculture, Ecology and Environment",University of Reading,"School of Agriculture, Policy & Development","['Full Time', 'Part Time']","Apply for this programmePrepare for a research career in the agricultural and agri-environment sectors – or for doctoral studies – with our MSc by Research in Agriculture, Ecology and Environment master’s degree.You’ll gain a multi-disciplinary appreciation of the underlying environmental, social and economic issues surrounding contemporary agricultural systems, and receive rigorous training in commonly used research methods and statistical analyses.You’ll also learn from researchers from the Centre for Agri-Environmental Research, a leading centre for agroecology research that’s highly respected by employers in the sector.Choose MSc by Research in Agriculture, Ecology and Environment at the University of ReadingYou will:",September,"New UK/Republic of Ireland students: £12,600 (full-time) or £6,300 (part-time)  New international students: £24,150 (full-time) or £12,075 (part-time)","Research Only,MSc","1 year full time, 2 years part time",Reading,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/agriculture-ecology-and-environment/?i345d711c46315,appli programmeprepar research career agricultur agrienviron sector – doctor studi – msc research agricultur ecolog environ master ’ degreey ’ gain multidisciplinari appreci underli environment social econom issu surround contemporari agricultur system receiv rigor train commonli use research method statist analysesy ’ also learn research centr agrienvironment research lead centr agroecolog research ’ highli respect employ sectorchoos msc research agricultur ecolog environ univers readingy,﻿agricultur ecolog environ,univers read,read,19159.89
﻿Agriculture and Development,University of Reading,"School of Agriculture, Policy & Development","['Full Time', 'Part Time']","Apply for this programmeExamine the role of agriculture in international contexts with our MSc Agriculture and Development master’s degree, designed for those pursuing careers in rural development, agricultural extension, or research.You will critically examine how agriculture – including horticulture – and agricultural research are addressing major challenges and opportunities in agricultural intensification and environmental sustainability, particularly in tropical and subtropical regions of the developing world.With an emphasis on farming systems, you’ll explore:",September,"New UK/Republic of Ireland students: £10,800  New international students: £22,350",MSc,"1 year full time, 2 years part time",Reading,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/agriculture-and-development/?i345d711c14398,appli programmeexamin role agricultur intern context msc agricultur develop master ’ degre design pursu career rural develop agricultur extens researchy critic examin agricultur – includ horticultur – agricultur research address major challeng opportun agricultur intensif environment sustain particularli tropic subtrop region develop worldwith emphasi farm system ’ explor,﻿agricultur develop,univers read,read,17731.82
﻿Agricultural Economics,University of Reading,"School of Agriculture, Policy & Development","['Full Time', 'Part Time']","Apply for this programmeDevelop your understanding of economic concepts and policies that promote world agricultural development with our MSc Agriculture Economics master’s degree.With an ever-increasing world population and growing pressure on the world’s finite resources, the analytical skills of agricultural economists are more relevant than ever.Choose MSc Agriculture Economics at the University of ReadingYou will:",September,"New UK/Republic of Ireland students: £10,800  New international students: £22,350",MSc,"1 year full time, 2 years part time",Reading,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/agricultural-economics/?i345d711c1812,appli programmedevelop understand econom concept polici promot world agricultur develop msc agricultur econom master ’ degreewith everincreas world popul grow pressur world ’ finit resourc analyt skill agricultur economist relev everchoos msc agricultur econom univers readingy,﻿agricultur econom,univers read,read,17731.82
﻿Analytical Chemistry (MSc),Sheffield Hallam University,Postgraduate Courses,"['Full Time', 'Part Time']","Apply for the part-time course here.Work in cutting-edge facilities, gaining the skills and knowledge you need to work as an analytical scientist — employing classical and modern techniques.",September,"Our tuition fee for UK students starting full-time study in 2024/25 is £10,310 for the course.  Please see the university website for further information on fees for this course.","MSc,PGDip,PGCert","1 year full-time, 2 years part-time",Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/analytical-chemistry-msc/?i219d2021c18993,appli parttim cours herework cuttingedg facil gain skill knowledg need work analyt scientist — employ classic modern techniqu,﻿analyt chemistri msc,sheffield hallam univers,sheffield,8179.64
﻿Allergy & Clinical Immunology (Online) PGCert,University College Cork,College of Medicine and Health,['Part Time'],"This new Postgraduate Certificate in Allergy and Clinical Immunology is a part-time fully online course open to healthcare professionals from different background including medicine, nursing, pharmacy, occupational therapy, speech and language, audiology, physiotherapy, psychology, dietetics, nutrition, and social studies.In order to address the necessity of health professionals to be more familiar with the allergy and clinical immunology field, this Certificate is the first in a suite of three postgraduate courses that have been developed by the College of Medicine and Health at University College Cork.",September,"The EU fee for this course is €3,130.  The Non-EU fee for this course is €6,950 .","PGCert,PGDip,MSc",1 year part time,Cork,Ireland,Online,https://www.findamasters.com/masters-degrees/course/allergy-and-clinical-immunology-online-pgcert/?i271d8009c68547,new postgradu certif allergi clinic immunolog parttim fulli onlin cours open healthcar profession differ background includ medicin nurs pharmaci occup therapi speech languag audiolog physiotherapi psycholog dietet nutrit social studiesin order address necess health profession familiar allergi clinic immunolog field certif first suit three postgradu cours develop colleg medicin health univers colleg cork,﻿allergi clinic immunolog onlin pgcert,univers colleg cork,cork,6352.37
﻿Anaesthesia and Perioperative Science MSc,University College London,Division of Surgery and Interventional Science,['Part Time'],"Register your interest in graduate study at UCLThe MSc Anaesthesia and Perioperative Science is for life science graduates or healthcare professionals. It equips you with academic and professional qualities to undertake the role of Anaesthesia Associate. We combine online learning with practical skills in the clinical environment, and you are taught by experts in the perioperative field. Placements are limited and are not advertised year-round.","March, September","Part time - £7,050",MSc,2 years part time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/anaesthesia-and-perioperative-science-msc/?i274d1822c70641,regist interest graduat studi uclth msc anaesthesia periop scienc life scienc graduat healthcar profession equip academ profession qualiti undertak role anaesthesia associ combin onlin learn practic skill clinic environ taught expert periop field placement limit advertis yearround,﻿anaesthesia periop scienc msc,univers colleg london,london,5593.26
﻿Analytics and Operations Research in Logistics (MSc),Erasmus School of Economics,Masters Programmes,['Full Time'],"Are you curious how logistics companies solve the puzzle of routing vehicles, ships and trains in the most efficient way? Would you like to apply your mathematical skills to ensure that airlines achieve optimal planning when making staff rosters? Operations Research is a broadly applicable discipline in which advanced quantitative methods are used to help better decision making. Quantitative Logistics studies the application of quantitative techniques to design, plan and control logistics systems. This programme trains you in both fields, while addressing real-life problems.",September,Tuition fees (2023-2024)  €2.314 (Statutory fee: Dutch / EEA students) €12.600 (Institutional fee: Dutch / EEA students) €16.100 (Institutional fee: non-EEA students),MSc,1 year,Rotterdam,Netherlands,On Campus,https://www.findamasters.com/masters-degrees/course/analytics-and-operations-research-in-logistics-msc/?i2814d7765c50631,curiou logist compani solv puzzl rout vehicl ship train effici way would like appli mathemat skill ensur airlin achiev optim plan make staff roster oper research broadli applic disciplin advanc quantit method use help better decis make quantit logist studi applic quantit techniqu design plan control logist system programm train field address reallif problem,﻿analyt oper research logist msc,erasmu school econom,rotterdam,14.72
"﻿Anthropology, Environment and Development MSc",University College London,Department of Anthropology,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThe MSc in Anthropology, Environment and Development integrates natural and social science approaches to address issues of sustainability and resilience in the Anthropocene. It serves as a foundation for higher level research and professional work, offering a rare opportunity to learn in an interdisciplinary setting with staff who collaborate with outside organisations while also pursuing independent research.",September,"Full time - £14,100 Part time - £7,050",MSc,"1 year full time, 2 years part time",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/anthropology-environment-and-development-msc/?i274d1852c20137,regist interest graduat studi uclth msc anthropolog environ develop integr natur social scienc approach address issu sustain resili anthropocen serv foundat higher level research profession work offer rare opportun learn interdisciplinari set staff collabor outsid organis also pursu independ research,﻿anthropolog environ develop msc,univers colleg london,london,11186.52
﻿FindAMasters | 500 Error : Internal Server Error,,,[],,,,,,,,,,,﻿findamast 500 error intern server error,,,
﻿Applications of Psychology - MSc,University of Suffolk,School of Social Sciences and Humanities,"['Full Time', 'Part Time']","IntroductionFor those who are eager to expand their knowledge of psychology further, this course is ideal. With a number of roles in vocational psychology now requiring doctorate training, this course provides the opportunity for students to gain experience and knowledge that will make them more appealing candidates for professional training programmes.Course modulesThese can be view on our website. ",September,"UK full-time tuition fee: £8,748 p.a UK part-time tuition fee: £972 per 20 credits (please contact the Student Centre for further information) International full-time tuition fee: £13,995 p.a",MSc,"1 year full-time, 2-3 years part-time",Ipswich,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/applications-of-psychology-msc/?i954d6101c57143,introductionfor eager expand knowledg psycholog cours ideal number role vocat psycholog requir doctor train cours provid opportun student gain experi knowledg make appeal candid profession train programmescours modulesthes view websit,﻿applic psycholog msc,univers suffolk,ipswich,11103.21
